algoritmo,n,promedio_ms,desviacion_ms,min_ms,max_ms
Burbuja,1000,1.066600,0.064583,1.036000,1.258700
Seleccion,1000,0.619040,0.046833,0.590100,0.753200
Insercion,1000,0.438870,0.092236,0.355000,0.645200
QuickSort,1000,0.039630,0.008456,0.031900,0.055300
MergeSort,1000,1.248910,0.053364,1.223300,1.402200
BusquedaSecuencial,1000,0.000860,0.000066,0.000800,0.001000
BusquedaBinaria,1000,0.000130,0.000046,0.000100,0.000200
Burbuja,5000,27.315490,0.119374,27.152400,27.517400
Seleccion,5000,14.131440,0.068650,14.038500,14.242800
Insercion,5000,9.391350,0.214609,9.077100,9.764800
QuickSort,5000,0.338790,0.024166,0.319900,0.390300
MergeSort,5000,6.809600,0.033841,6.739500,6.849100
BusquedaSecuencial,5000,0.004340,0.000066,0.004300,0.004500
BusquedaBinaria,5000,0.000130,0.000064,0.000100,0.000300
Burbuja,10000,115.347940,2.060730,112.422200,117.869100
Seleccion,10000,56.013740,0.293010,55.618100,56.674800
Insercion,10000,37.095640,0.515336,36.266200,37.649700
QuickSort,10000,0.759200,0.008983,0.746100,0.773500
MergeSort,10000,14.214020,0.115190,14.016100,14.394800
BusquedaSecuencial,10000,0.007440,0.000049,0.007400,0.007500
BusquedaBinaria,10000,0.000130,0.000046,0.000100,0.000200
